E:\anaconda\lib\site-packages\pandas\core\arrays\masked.py:61: UserWarning: Pandas requires version '1.3.6' or newer of 'bottleneck' (version '1.3.5' currently installed).
  from pandas.core import (
排除科创板: 609 只, 包含ETF/LOF: 1064 只
获取到 5662 只A股
已处理 0 只，待处理 5662 只
进度: 100/5662 | 涨停: 0 只 | 速度: 7.9只/秒 | 剩余: 11.7分钟
进度: 200/5662 | 涨停: 14 只 | 速度: 10.7只/秒 | 剩余: 8.5分钟
进度: 300/5662 | 涨停: 26 只 | 速度: 11.2只/秒 | 剩余: 8.0分钟
进度: 400/5662 | 涨停: 38 只 | 速度: 11.4只/秒 | 剩余: 7.7分钟
进度: 500/5662 | 涨停: 317 只 | 速度: 9.1只/秒 | 剩余: 9.5分钟
进度: 600/5662 | 涨停: 759 只 | 速度: 8.2只/秒 | 剩余: 10.3分钟
进度: 700/5662 | 涨停: 1173 只 | 速度: 7.8只/秒 | 剩余: 10.5分钟
进度: 800/5662 | 涨停: 1644 只 | 速度: 7.3只/秒 | 剩余: 11.0分钟
进度: 900/5662 | 涨停: 2035 只 | 速度: 6.7只/秒 | 剩余: 11.8分钟
进度: 1000/5662 | 涨停: 2477 只 | 速度: 6.6只/秒 | 剩余: 11.8分钟
进度: 1100/5662 | 涨停: 2850 只 | 速度: 6.4只/秒 | 剩余: 11.9分钟
进度: 1200/5662 | 涨停: 3144 只 | 速度: 6.3只/秒 | 剩余: 11.8分钟
进度: 1300/5662 | 涨停: 3421 只 | 速度: 6.2只/秒 | 剩余: 11.8分钟
进度: 1400/5662 | 涨停: 3770 只 | 速度: 6.1只/秒 | 剩余: 11.6分钟
进度: 1500/5662 | 涨停: 4126 只 | 速度: 6.0只/秒 | 剩余: 11.5分钟
进度: 1600/5662 | 涨停: 4502 只 | 速度: 5.9只/秒 | 剩余: 11.6分钟
进度: 1700/5662 | 涨停: 4888 只 | 速度: 5.8只/秒 | 剩余: 11.3分钟
进度: 1800/5662 | 涨停: 5312 只 | 速度: 5.7只/秒 | 剩余: 11.2分钟
进度: 1900/5662 | 涨停: 5808 只 | 速度: 5.6只/秒 | 剩余: 11.2分钟
进度: 2000/5662 | 涨停: 6197 只 | 速度: 5.6只/秒 | 剩余: 10.9分钟
进度: 2100/5662 | 涨停: 6685 只 | 速度: 5.6只/秒 | 剩余: 10.6分钟
进度: 2200/5662 | 涨停: 7022 只 | 速度: 5.6只/秒 | 剩余: 10.3分钟
进度: 2300/5662 | 涨停: 7411 只 | 速度: 5.7只/秒 | 剩余: 9.9分钟
进度: 2400/5662 | 涨停: 7800 只 | 速度: 5.7只/秒 | 剩余: 9.6分钟
进度: 2500/5662 | 涨停: 8128 只 | 速度: 5.6只/秒 | 剩余: 9.4分钟
进度: 2600/5662 | 涨停: 8519 只 | 速度: 5.6只/秒 | 剩余: 9.2分钟
进度: 2700/5662 | 涨停: 8891 只 | 速度: 5.6只/秒 | 剩余: 8.8分钟
进度: 2800/5662 | 涨停: 9287 只 | 速度: 5.5只/秒 | 剩余: 8.7分钟
进度: 2900/5662 | 涨停: 9825 只 | 速度: 5.5只/秒 | 剩余: 8.4分钟
进度: 3000/5662 | 涨停: 10263 只 | 速度: 5.4只/秒 | 剩余: 8.3分钟
进度: 3100/5662 | 涨停: 10652 只 | 速度: 5.3只/秒 | 剩余: 8.1分钟
进度: 3200/5662 | 涨停: 10979 只 | 速度: 5.2只/秒 | 剩余: 7.8分钟
进度: 3300/5662 | 涨停: 11372 只 | 速度: 5.2只/秒 | 剩余: 7.6分钟
进度: 3400/5662 | 涨停: 11869 只 | 速度: 5.1只/秒 | 剩余: 7.3分钟
进度: 3500/5662 | 涨停: 12208 只 | 速度: 5.0只/秒 | 剩余: 7.1分钟
进度: 3600/5662 | 涨停: 12611 只 | 速度: 5.0只/秒 | 剩余: 6.8分钟
