E:\anaconda\lib\site-packages\pandas\core\arrays\masked.py:61: UserWarning: Pandas requires version '1.3.6' or newer of 'bottleneck' (version '1.3.5' currently installed).
  from pandas.core import (
获取到 5703 只A股
已处理 0 只，待处理 5703 只
进度: 100/5703 | 涨停: 0 只 | 速度: 2.6只/秒 | 剩余: 36.5分钟
进度: 200/5703 | 涨停: 0 只 | 速度: 2.9只/秒 | 剩余: 32.0分钟
进度: 300/5703 | 涨停: 174 只 | 速度: 2.9只/秒 | 剩余: 30.7分钟
进度: 400/5703 | 涨停: 473 只 | 速度: 3.0只/秒 | 剩余: 29.9分钟
进度: 500/5703 | 涨停: 473 只 | 速度: 3.4只/秒 | 剩余: 25.6分钟
进度: 600/5703 | 涨停: 473 只 | 速度: 3.8只/秒 | 剩余: 22.2分钟
进度: 700/5703 | 涨停: 473 只 | 速度: 4.1只/秒 | 剩余: 20.1分钟
进度: 800/5703 | 涨停: 473 只 | 速度: 4.5只/秒 | 剩余: 18.3分钟
进度: 900/5703 | 涨停: 473 只 | 速度: 4.7只/秒 | 剩余: 17.1分钟
进度: 1000/5703 | 涨停: 584 只 | 速度: 4.6只/秒 | 剩余: 16.9分钟
进度: 1100/5703 | 涨停: 584 只 | 速度: 4.9只/秒 | 剩余: 15.7分钟
进度: 1200/5703 | 涨停: 663 只 | 速度: 5.0只/秒 | 剩余: 15.1分钟
进度: 1300/5703 | 涨停: 827 只 | 速度: 4.9只/秒 | 剩余: 15.0分钟
进度: 1400/5703 | 涨停: 1143 只 | 速度: 4.6只/秒 | 剩余: 15.5分钟
E:\anaconda\lib\site-packages\pandas\core\arrays\masked.py:61: UserWarning: Pandas requires version '1.3.6' or newer of 'bottleneck' (version '1.3.5' currently installed).
  from pandas.core import (
获取到 5703 只A股
已处理 1400 只，待处理 4303 只
进度: 100/4303 | 涨停: 1115 只 | 速度: 2.4只/秒 | 剩余: 29.3分钟
进度: 200/4303 | 涨停: 1380 只 | 速度: 2.6只/秒 | 剩余: 26.3分钟
进度: 300/4303 | 涨停: 1458 只 | 速度: 3.0只/秒 | 剩余: 22.1分钟
进度: 400/4303 | 涨停: 1458 只 | 速度: 3.6只/秒 | 剩余: 18.0分钟
进度: 500/4303 | 涨停: 1458 只 | 速度: 4.0只/秒 | 剩余: 15.9分钟
进度: 600/4303 | 涨停: 1458 只 | 速度: 4.3只/秒 | 剩余: 14.4分钟
进度: 700/4303 | 涨停: 1458 只 | 速度: 4.6只/秒 | 剩余: 13.1分钟
进度: 800/4303 | 涨停: 1458 只 | 速度: 4.9只/秒 | 剩余: 12.0分钟
进度: 900/4303 | 涨停: 1458 只 | 速度: 5.1只/秒 | 剩余: 11.2分钟
进度: 1000/4303 | 涨停: 1458 只 | 速度: 5.3只/秒 | 剩余: 10.4分钟
进度: 1100/4303 | 涨停: 1458 只 | 速度: 5.4只/秒 | 剩余: 9.8分钟
进度: 1200/4303 | 涨停: 1458 只 | 速度: 5.5只/秒 | 剩余: 9.3分钟
进度: 1300/4303 | 涨停: 1458 只 | 速度: 5.5只/秒 | 剩余: 9.0分钟
进度: 1400/4303 | 涨停: 1458 只 | 速度: 5.6只/秒 | 剩余: 8.6分钟
进度: 1500/4303 | 涨停: 1458 只 | 速度: 5.7只/秒 | 剩余: 8.1分钟
进度: 1600/4303 | 涨停: 1458 只 | 速度: 5.8只/秒 | 剩余: 7.8分钟
进度: 1700/4303 | 涨停: 1458 只 | 速度: 5.9只/秒 | 剩余: 7.4分钟
进度: 1800/4303 | 涨停: 1458 只 | 速度: 5.9只/秒 | 剩余: 7.0分钟
进度: 1900/4303 | 涨停: 1458 只 | 速度: 6.0只/秒 | 剩余: 6.7分钟
进度: 2000/4303 | 涨停: 1458 只 | 速度: 6.0只/秒 | 剩余: 6.4分钟
进度: 2100/4303 | 涨停: 1458 只 | 速度: 5.9只/秒 | 剩余: 6.2分钟
进度: 2200/4303 | 涨停: 1458 只 | 速度: 6.0只/秒 | 剩余: 5.9分钟
进度: 2300/4303 | 涨停: 1458 只 | 速度: 6.0只/秒 | 剩余: 5.6分钟
进度: 2400/4303 | 涨停: 1458 只 | 速度: 6.0只/秒 | 剩余: 5.3分钟
进度: 2500/4303 | 涨停: 1458 只 | 速度: 6.0只/秒 | 剩余: 5.0分钟
进度: 2600/4303 | 涨停: 1458 只 | 速度: 6.1只/秒 | 剩余: 4.7分钟
进度: 2700/4303 | 涨停: 1458 只 | 速度: 6.0只/秒 | 剩余: 4.4分钟
进度: 2800/4303 | 涨停: 1458 只 | 速度: 6.0只/秒 | 剩余: 4.2分钟
进度: 2900/4303 | 涨停: 1458 只 | 速度: 6.0只/秒 | 剩余: 3.9分钟
进度: 3000/4303 | 涨停: 1458 只 | 速度: 6.1只/秒 | 剩余: 3.6分钟
进度: 3100/4303 | 涨停: 1458 只 | 速度: 6.1只/秒 | 剩余: 3.3分钟
进度: 3200/4303 | 涨停: 1458 只 | 速度: 6.1只/秒 | 剩余: 3.0分钟
进度: 3300/4303 | 涨停: 1458 只 | 速度: 6.1只/秒 | 剩余: 2.7分钟
进度: 3400/4303 | 涨停: 1458 只 | 速度: 6.2只/秒 | 剩余: 2.4分钟
进度: 3500/4303 | 涨停: 1458 只 | 速度: 6.2只/秒 | 剩余: 2.2分钟
进度: 3600/4303 | 涨停: 1458 只 | 速度: 6.2只/秒 | 剩余: 1.9分钟
进度: 3700/4303 | 涨停: 1458 只 | 速度: 6.2只/秒 | 剩余: 1.6分钟
进度: 3800/4303 | 涨停: 1458 只 | 速度: 6.3只/秒 | 剩余: 1.3分钟
进度: 3900/4303 | 涨停: 1458 只 | 速度: 6.3只/秒 | 剩余: 1.1分钟
进度: 4000/4303 | 涨停: 1458 只 | 速度: 6.3只/秒 | 剩余: 0.8分钟
进度: 4100/4303 | 涨停: 1458 只 | 速度: 6.3只/秒 | 剩余: 0.5分钟
进度: 4200/4303 | 涨停: 1458 只 | 速度: 6.4只/秒 | 剩余: 0.3分钟
